1	0.22	0.04	0.05	0.14	0.09
3	0.24	0.06	0.06	0.15	0.09
16	0.88	0.28	0.20	0.15	0.09
32	1.13	0.54	0.38	0.21	0.12
64	2.90	1.13	0.79	0.35	0.17
128	4.00	2.40	1.67	0.61	0.28
